Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
1.221,38.03472,9.855407,-4.104452,-0.1536034,-1.013215,100.0076,0.000405457,0.005506653
1.229334,38.12244,9.855397,-4.102688,-0.1533173,-1.011609,99.98631,0.000177684,0.004377276
1.237667,38.20378,9.855405,-4.100986,-0.1530393,-1.010056,99.98941,0.000115393,0.004017464
1.246,38.28848,9.855429,-4.099362,-0.1527722,-1.008572,100.0035,3.04453e-05,0.003722603
1.254334,38.37152,9.855462,-4.098076,-0.1525494,-1.007383,99.99374,-3.2811e-05,0.003505418
1.262667,38.45786,9.855469,-4.096885,-0.1523394,-1.006277,100.0087,-9.3462e-05,0.003288562
1.271,38.54155,9.855494,-4.095564,-0.1521119,-1.005058,99.99137,-0.00013874,0.003160972
1.279334,38.62771,9.8555,-4.09418,-0.1518759,-1.003782,100.0251,-0.00019726,0.002985916
1.287666,38.7123,9.855481,-4.092828,-0.1516438,-1.002535,100.0033,-0.00024894,0.002812522
1.296,38.79868,9.855484,-4.091406,-0.1514019,-1.001224,99.97095,-0.00028735,0.002641778
1.304334,38.88653,9.855516,-4.090288,-0.1512001,-1.00018,99.994,-0.00031588,0.002473628
1.312666,38.97354,9.85553,-4.089195,-0.1510015,-0.9991576,100.0226,-0.00033805,0.002347217
1.321,39.06004,9.855538,-4.087973,-0.1507859,-0.998022,99.98801,-0.00037621,0.002184854
1.329334,39.14697,9.855539,-4.087169,-0.1506255,-0.9972528,100.0148,-0.00040144,0.00210181
1.337666,39.23517,9.85552,-4.086259,-0.1504508,-0.9963899,100.0156,-0.00043411,0.00198074
1.346,39.32491,9.855538,-4.085343,-0.1502752,-0.9955214,99.98528,-0.00046321,0.001861731
1.354334,39.41728,9.855545,-4.08457,-0.1501186,-0.9947788,99.96656,-0.00048476,0.001745332
1.362666,39.5025,9.855571,-4.08365,-0.1499421,-0.9939062,100.0256,-0.0004931,0.001630362
1.371,39.59891,9.855609,-4.082542,-0.1497406,-0.9928687,99.98049,-0.00049053,0.001516503
1.379334,39.68544,9.855606,-4.081737,-0.1495788,-0.9920956,99.99179,-0.0004809,0.001405284
1.387666,39.77894,9.855578,-4.081203,-0.1494525,-0.9915601,100.0098,-0.00047346,0.001294885
1.396,39.86891,9.855566,-4.080765,-0.1493389,-0.9911089,100.0041,-0.00047187,0.001219675
1.404334,39.96438,9.855569,-4.08032,-0.1492242,-0.9906516,99.97101,-0.00046913,0.001146682
1.412666,40.05386,9.855578,-4.079944,-0.1491181,-0.9902531,100.0142,-0.0004747,0.001041181
1.421,40.15154,9.855566,-4.079229,-0.1489668,-0.9895572,100.0258,-0.00049214,0.000937234
1.429334,40.23911,9.855547,-4.078912,-0.1488683,-0.9892109,99.97545,-0.00051351,0.000836263
1.437666,40.32936,9.855547,-4.078631,-0.1487745,-0.9888947,99.98397,-0.00052821,0.000769073
1.446,40.42085,9.855549,-4.078424,-0.1486905,-0.9886444,100.0172,-0.00055727,0.000671074
1.454334,40.51589,9.855555,-4.078678,-0.1486671,-0.9887968,99.97645,-0.00057814,0.00060623
1.462666,40.60972,9.855616,-4.078752,-0.14862,-0.9887934,100.0157,-0.00061399,0.000512788
1.471,40.70064,9.855658,-4.078965,-0.1485909,-0.9889106,99.99668,-0.00063996,0.000451034
1.479334,40.79463,9.855666,-4.079004,-0.1485388,-0.9888745,100.0189,-0.00067733,0.000361326
1.487666,40.89756,9.855694,-4.078845,-0.1484605,-0.988665,100.0018,-0.00071421,0.000272167
1.496,40.98721,9.855712,-4.078528,-0.1483611,-0.9883165,99.97978,-0.00073744,0.000213802
1.504334,41.08532,9.855749,-4.078717,-0.1483285,-0.9884116,100.0082,-0.00074977,0.000181389
1.512666,41.18338,9.855799,-4.078864,-0.1482898,-0.9884695,100.0002,-0.00078007,9.60577e-05
1.521,41.27238,9.855836,-4.079262,-0.1482841,-0.9887481,100.0101,-0.00079498,3.98372e-05
1.529334,41.372,9.855851,-4.079548,-0.1482631,-0.9889264,100.0295,-0.0008138,-4.3038e-05
1.537666,41.46777,9.855866,-4.080141,-0.1482824,-0.9893745,99.97043,-0.00082332,-9.8013e-05
1.546,41.56406,9.855849,-4.080466,-0.1482664,-0.9895874,100.032,-0.00083064,-0.00015215
1.554334,41.66257,9.855879,-4.080458,-0.1482063,-0.9895079,99.99838,-0.00083672,-0.0002319
1.562666,41.76106,9.855913,-4.080872,-0.1482013,-0.9897982,99.99995,-0.00083701,-0.00028474
1.571,41.86383,9.855922,-4.081676,-0.1482472,-0.9904294,99.99999,-0.00083609,-0.00033667
1.579334,41.95787,9.855914,-4.0825,-0.1482958,-0.9910785,99.96705,-0.00083724,-0.00041264
1.587666,42.0558,9.8559,-4.083028,-0.1483054,-0.991468,100.0204,-0.00084006,-0.00046279
1.596,42.16016,9.855872,-4.083917,-0.148362,-0.9921741,99.9943,-0.00084389,-0.0005126
1.604334,42.25402,9.855841,-4.084878,-0.1484277,-0.9929422,99.94914,-0.00085156,-0.0005857
1.612666,42.36302,9.855819,-4.085916,-0.1485028,-0.9937768,100.0123,-0.00085859,-0.00063417
1.621,42.45476,9.855788,-4.086392,-0.1485045,-0.9941199,99.9839,-0.00086849,-0.00068107
1.629334,42.55742,9.855746,-4.087482,-0.1485861,-0.9949999,100.0096,-0.00088345,-0.00075047
1.637666,42.65534,9.855701,-4.088645,-0.1486774,-0.9959453,100.0319,-0.00089911,-0.00079544
1.646,42.75242,9.855676,-4.089794,-0.1487666,-0.9968769,99.99591,-0.00091615,-0.00083991
1.654334,42.85369,9.85568,-4.090881,-0.1488479,-0.997755,100.01,-0.00092977,-0.00088426
1.662666,42.94756,9.855712,-4.091977,-0.1489304,-0.9986408,100.0092,-0.00093967,-0.00092788
1.671,43.04876,9.855731,-4.093382,-0.149053,-0.9997975,100.0155,-0.00094828,-0.00099261
1.679334,43.15378,9.85575,-4.0944,-0.149125,-1.000615,99.98148,-0.00095426,-0.0010351
1.687666,43.25263,9.855781,-4.09535,-0.1491877,-1.001373,100.0133,-0.00095881,-0.0010767
1.696,43.35244,9.855826,-4.0965,-0.1492766,-1.002305,99.98014,-0.0009627,-0.0011177
1.704334,43.45603,9.855882,-4.098047,-0.1494172,-1.003586,100.026,-0.0009709,-0.0011583
1.712666,43.54693,9.855949,-4.099353,-0.1495264,-1.004656,99.96532,-0.0009797,-0.0012185
1.721,43.64695,9.855981,-4.100789,-0.1496525,-1.005839,100.028,-0.0009852,-0.0012581
1.729334,43.75666,9.855986,-4.102192,-0.149774,-1.006994,99.98439,-0.00098735,-0.0012977
1.737666,43.85494,9.85597,-4.103485,-0.1498806,-1.008051,100.0071,-0.00098891,-0.0013364
1.746,43.94549,9.855976,-4.104972,-0.150013,-1.00928,99.97486,-0.00099424,-0.0013744
1.754334,44.0539,9.855962,-4.106385,-0.1501351,-1.010442,100.0081,-0.0010015,-0.0014123
1.762666,44.16156,9.855966,-4.10822,-0.1503119,-1.011974,99.99139,-0.0010145,-0.0014685
1.771,44.26393,9.855958,-4.109863,-0.1504635,-1.013338,99.99211,-0.0010218,-0.0015054
1.779334,44.35958,9.855931,-4.111515,-0.1506162,-1.01471,100.0175,-0.0010273,-0.0015417
1.787666,44.46464,9.855905,-4.113444,-0.1508047,-1.016324,99.98785,-0.0010271,-0.0015779
1.796,44.56864,9.855851,-4.115288,-0.1509817,-1.017865,99.99962,-0.0010245,-0.0016141
1.804334,44.66913,9.855811,-4.117076,-0.1511507,-1.019354,100.0474,-0.0010252,-0.0016493
1.812666,44.77408,9.855824,-4.1191,-0.1513505,-1.021051,99.95694,-0.0010251,-0.001684
1.821,44.87191,9.85585,-4.1211,-0.1515474,-1.022727,100.0454,-0.0010198,-0.0017352
1.829334,44.97429,9.855851,-4.123019,-0.1517332,-1.024332,100.0128,-0.0010094,-0.0017688
1.837666,45.0722,9.855881,-4.125023,-0.1519299,-1.026011,99.99024,-0.00099641,-0.001802
